,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6058,PA WAINFLEET SKYDIVE BURNABY,ONTARIO,6136303,52639,,L6A,42.88,-79.35,425242600,-792116200,180.5,2014,2015,2014.0,2015.0,,,,
6059,PA WELLAND FLATWATER,ONTARIO,6136305,52499,,W5Z,42.97,-79.26,425755080,-791518700,186.5,2014,2015,2014.0,2015.0,,,,
6060,PA WINONA VINE ESTATES,ONTARIO,6136308,52721,,L5B,43.22,-79.68,431257200,-794056700,101.5,2014,2015,2014.0,2015.0,,,,
6082,RIDGETOWN RCS,ONTARIO,6137154,32473,71307.0,XRG,42.45,-81.88,422700000,-815300000,205.7,2003,2019,2003.0,2019.0,2003.0,2019.0,2003.0,2006.0
6086,ST. CATHARINES / NIAGARA DISTRICT A,ONTARIO,6137286,50131,,YSN,43.19,-79.17,431130000,-791018000,97.8,2012,2019,2012.0,2019.0,,,,
6090,ST CATHARINES A,ONTARIO,6137304,53000,,YSN,43.19,-79.17,431130000,-791016000,97.8,2014,2019,2014.0,2019.0,2018.0,2019.0,,
6116,VINELAND STATION RCS,ONTARIO,6139148,31367,71171.0,XVN,43.18,-79.4,431100000,-792400000,79.2,2002,2019,2002.0,2019.0,2002.0,2019.0,2003.0,2006.0
6126,WELLAND-PELHAM,ONTARIO,6139449,44283,71752.0,TWL,42.97,-79.33,425800000,-792000000,178.0,2005,2019,2005.0,2019.0,2005.0,2019.0,2005.0,2006.0
6130,WINDSOR A,ONTARIO,6139527,52838,,YQG,42.28,-82.96,421634000,-825719000,189.6,2014,2018,2014.0,2018.0,2014.0,2018.0,,
6131,WINDSOR A,ONTARIO,6139530,54738,71538.0,YQG,42.28,-82.96,421634000,-825719000,189.6,2018,2019,2018.0,2019.0,2018.0,2019.0,,
6143,POINT PELEE CS,ONTARIO,613P001,27533,71303.0,XPT,41.95,-82.52,415655009,-823108002,176.8,1999,2019,2001.0,2019.0,1999.0,2019.0,1999.0,2006.0
6144,HARROW TST,ONTARIO,613ZZZZ,31147,,XHW,42.03,-82.9,420200000,-825400000,191.0,2001,2002,2001.0,2002.0,,,,
6152,BRANTFORD AIRPORT,ONTARIO,6140942,53378,71602.0,TBF,43.14,-80.33,430815000,-801953000,245.5,2014,2019,2014.0,2019.0,2014.0,2019.0,,
6178,ELORA RCS,ONTARIO,6142286,41983,71352.0,ZEL,43.65,-80.42,433900000,-802500000,376.4,2003,2019,2003.0,2019.0,2003.0,2019.0,2003.0,2006.0
6196,GUELPH TURFGRASS,ONTARIO,6143089,45407,71833.0,TGT,43.55,-80.22,433300000,-801300000,325.0,2006,2019,2006.0,2019.0,2006.0,2019.0,2006.0,2006.0
6207,KITCHENER/WATERLOO,ONTARIO,6144239,48569,71368.0,YKF,43.46,-80.38,432739000,-802243000,321.6,2010,2019,2010.0,2019.0,2010.0,2019.0,,
6215,LONDON A,ONTARIO,6144473,50093,71623.0,YXU,43.03,-81.15,430159000,-810904000,278.0,2012,2019,2012.0,2019.0,2012.0,2019.0,,
6267,REGION OF WATERLOO INT'L AIRPORT,ONTARIO,6149388,32008,,,43.46,-80.38,432732000,-802239000,321.26,2002,2011,2002.0,2010.0,2002.0,2011.0,2002.0,2006.0
6370,PA HALTON HILLS,ONTARIO,6153170,52498,,L4A,43.6,-80.06,433555300,-800318200,382.5,2014,2015,2014.0,2015.0,,,,
6372,HAMILTON A,ONTARIO,6153193,49908,71263.0,YHM,43.17,-79.94,431025000,-795606000,237.7,2011,2019,2011.0,2019.0,2011.0,2019.0,,
6379,HAMILTON RBG CS,ONTARIO,6153301,27529,71297.0,XHM,43.29,-79.91,431730000,-795430000,102.0,1997,2019,2000.0,2019.0,1997.0,2019.0,1997.0,2006.0
6441,OSHAWA,ONTARIO,6155875,48649,71697.0,YOO,43.92,-78.88,435522000,-785300041,139.9,2010,2019,2010.0,2019.0,2010.0,2019.0,,
6448,PA ATMOS BRAMPTON,ONTARIO,6156130,52738,,A4T,43.79,-79.77,434717760,-794614760,246.0,2014,2015,2014.0,2015.0,,,,
6449,PA ATMOS CAMPBELLVILLE,ONTARIO,6156131,52740,,A7T,43.44,-80.01,432634760,-800043010,315.0,2014,2015,2014.0,2015.0,,,,
6450,PA ATMOS CLAREMONT,ONTARIO,6156132,52737,,A3T,43.94,-79.08,435609800,-790505400,167.0,2014,2015,2014.0,2015.0,,,,
6451,PA ATMOS ERIN,ONTARIO,6156133,52735,,A1T,43.83,-80.12,434933620,-800712840,470.0,2014,2015,2014.0,2015.0,,,,
6452,PA ATMOS HAMILTON,ONTARIO,6156134,52742,,A9T,43.19,-79.83,431138800,-794946900,198.0,2014,2015,2014.0,2015.0,,,,
6453,PA ATMOS MISSISSAUGA,ONTARIO,6156135,52741,,A8T,43.53,-79.65,433147100,-793848500,141.0,2014,2015,2014.0,2015.0,,,,
6454,PA ATMOS NORTH YORK,ONTARIO,6156136,53258,,A6T,43.75,-79.31,434517700,-791853200,178.0,2014,2015,2014.0,2015.0,,,,
6455,PA ATMOS NORVAL,ONTARIO,6156137,52739,,A5T,43.62,-79.84,433725600,-795021200,240.0,2014,2015,2014.0,2015.0,,,,
6456,PA ATMOS VAUGHAN,ONTARIO,6156138,52736,,A2T,43.86,-79.54,435147700,-793228900,254.0,2014,2015,2014.0,2015.0,,,,
6457,PA AJAX COMMUNITY CENTRE,ONTARIO,6156150,52703,,L3C,43.87,-79.04,435155800,-790209900,117.5,2014,2015,2014.0,2015.0,,,,
6458,PA AJAX PAO TAU,ONTARIO,6156152,52705,,L3E,43.91,-79.06,435424300,-790327500,148.5,2014,2015,2014.0,2015.0,,,,
6459,PA AJAX VILLAGE CHRYSLER,ONTARIO,6156153,52702,,L3B,43.84,-79.03,435029700,-790130500,114.5,2014,2015,2014.0,2015.0,,,,
6460,PA AJAX WINTERMERE SOD,ONTARIO,6156154,52704,,L3D,43.9,-79.04,435356500,-790217200,124.5,2014,2015,2014.0,2015.0,,,,
6461,PA AJAX WATER SUPPLY,ONTARIO,6156155,52701,,L3A,43.82,-79.01,434922000,-790025500,92.5,2014,2015,2014.0,2015.0,,,,
6462,PA CALEDON EQUESTRIAN PARK,ONTARIO,6156156,52728,,Z1N,43.96,-79.84,435744200,-795008800,301.5,2014,2015,2014.0,2015.0,,,,
